PRICING_DATE,PX_LAST
2009-02-17,1.44
2009-02-18,1.61
2009-02-19,1.405
2009-02-20,1.44
2009-02-23,1.44
2009-02-24,1.435
2009-02-25,1.4
2009-02-26,1.425
2009-02-27,1.4
2009-03-02,1.4
2009-03-03,1.4
2009-03-04,1.33
2009-03-05,1.43
2009-03-06,1.415
2009-03-09,1.365
2009-03-10,1.39
2009-03-11,1.375
2009-03-12,1.37
2009-03-13,1.37
2009-03-16,1.34
2009-03-17,1.345
2009-03-18,1.33
2009-03-19,1.33
2009-03-20,1.33
2009-03-23,1.325
2009-03-24,1.325
2009-03-25,1.375
2009-03-26,1.36
2009-03-27,1.42
2009-03-30,1.4
2009-03-31,1.4
2009-04-01,1.4
2009-04-02,1.4
2009-04-03,1.44
2009-04-07,1.5
2009-04-08,1.54
2009-04-09,1.56
2009-04-10,1.55
2009-04-13,1.72
2009-04-14,1.67
2009-04-15,1.6
2009-04-16,1.605
2009-04-17,1.6
2009-04-20,1.585
2009-04-21,1.575
2009-04-22,1.565
2009-04-23,1.6
2009-04-24,1.6
2009-04-27,1.605
2009-04-28,1.6
2009-04-29,1.595
2009-04-30,1.59
2009-05-04,1.59
2009-05-05,1.61
2009-05-06,1.595
2009-05-07,1.58
2009-05-08,1.575
2009-05-11,1.625
2009-05-12,1.57
2009-05-13,1.5
2009-05-14,1.49
2009-05-15,1.445
2009-05-18,1.43
2009-05-19,1.46
2009-05-20,1.465
2009-05-21,1.47
2009-05-22,1.445
2009-05-25,1.595
2009-05-26,1.61
2009-05-27,1.61
2009-06-01,1.64
2009-06-02,1.665
2009-06-03,1.65
2009-06-04,1.65
2009-06-05,1.61
2009-06-08,1.635
2009-06-09,1.675
2009-06-10,1.645
2009-06-11,1.77
2009-06-12,1.705
2009-06-15,1.76
2009-06-16,1.72
2009-06-17,1.75
2009-06-18,1.8
2009-06-19,1.83
2009-06-22,1.835
2009-06-23,1.81
2009-06-24,1.865
2009-06-25,1.83
2009-06-26,1.86
2009-06-29,1.84
2009-06-30,1.88
2009-07-01,1.91
2009-07-02,2.01
2009-07-03,2.085
2009-07-06,2.16
2009-07-07,2.26
2009-07-08,2.1925
2009-07-09,2.32
2009-07-10,2.38
2009-07-13,2.2
2009-07-14,2.31
2009-07-15,2.36
2009-07-16,2.34
2009-07-17,2.38
2009-07-20,2.29
2009-07-21,2.26
2009-07-22,2.2
2009-07-23,2.21
2009-07-24,2.16
2009-07-27,2.22
2009-07-28,2.21
2009-07-29,2.24
2009-07-30,2.25
2009-07-31,2.255
2009-08-03,2.26
2009-08-04,2.25
2009-08-05,2.25
2009-08-06,2.26
2009-08-07,2.25
2009-08-10,2.28
2009-08-11,2.2525
2009-08-12,2.225
2009-08-13,2.26
2009-08-14,2.26
2009-08-17,2.655
2009-08-18,2.1
2009-08-19,2.21
2009-08-20,2.08
2009-08-21,2.17
2009-08-24,2.18
2009-08-25,2.1775
2009-08-26,2.16
2009-08-27,2.16
2009-08-28,2.14
2009-08-31,2.1
2009-09-01,2.11
2009-09-02,2.06
2009-09-03,2.1
2009-09-04,2.12
2009-09-07,2.06
2009-09-08,2.13
2009-09-09,2.14
2009-09-10,2.14
2009-09-11,2.13
2009-09-14,2.135
2009-09-15,2.14
2009-09-16,2.14
2009-09-17,2.15
2009-09-18,2.16
2009-09-21,2.135
2009-09-22,2.15
2009-09-23,2.18
2009-09-24,2.14
2009-09-25,2.14
2009-09-28,2.19
2009-09-29,2.2025
2009-09-30,2.205
2009-10-01,2.21
2009-10-02,2.21
2009-10-05,2.2
2009-10-06,2.21
2009-10-07,2.2
2009-10-08,2.2
2009-10-09,2.2475
2009-10-12,2.33
2009-10-13,2.33
2009-10-14,2.3325
2009-10-15,2.42
2009-10-16,2.39
2009-10-19,2.315
2009-10-20,2.3975
2009-10-21,2.3975
2009-10-22,2.45
2009-10-23,2.47
2009-10-26,2.46
2009-10-27,2.42
2009-10-28,2.38
2009-10-29,2.36
2009-10-30,2.39
2009-11-02,2.36
2009-11-03,2.39
2009-11-04,2.35
2009-11-05,2.39
2009-11-06,2.41
2009-11-09,2.39
2009-11-10,2.365
2009-11-12,2.235
2009-11-13,2.29
2009-11-16,2.2775
2009-11-17,2.3
2009-11-18,2.2925
2009-11-19,2.3075
2009-11-20,2.26
2009-11-23,2.3325
2009-11-24,2.29
2009-11-25,2.3275
2009-11-26,2.27
2009-11-27,2.24
2009-11-30,2.2425
2009-12-01,2.27
2009-12-02,2.29
2009-12-03,2.2925
2009-12-04,2.28
2009-12-07,2.32
2009-12-08,2.28
2009-12-09,2.38
2009-12-10,2.31
2009-12-11,2.3
2009-12-14,2.325
2009-12-15,2.32
2009-12-16,2.31
2009-12-17,2.33
2009-12-18,2.31
2009-12-21,2.315
2009-12-22,2.34
2009-12-23,2.34
2009-12-24,2.3325
2009-12-25,2.33
2009-12-28,2.36
2009-12-29,2.37
2009-12-30,2.37
2009-12-31,2.37
2010-01-01,2.38
2010-01-04,2.4375
2010-01-05,2.4
2010-01-06,2.4
2010-01-07,2.53
2010-01-08,2.56
2010-01-11,2.5575
2010-01-12,2.52
2010-01-13,2.59
2010-01-14,2.55
2010-01-15,2.55
2010-01-18,2.56
2010-01-19,2.56
2010-01-20,2.59
2010-01-21,2.58
2010-01-22,2.57
2010-01-25,2.56
2010-01-26,2.56
2010-01-27,2.56
2010-01-28,2.58
2010-01-29,2.57
2010-02-01,2.58
2010-02-02,2.57
2010-02-03,2.58
2010-02-04,2.58
2010-02-05,2.58
2010-02-08,2.58
2010-02-09,2.58
2010-02-10,2.57
2010-02-11,2.57
